,Unnamed: 0,체용제목,회사명,기업구분,등록일자,고용구분
69,69,2022년 신입사원 공개채용{정규직(신입)],히로세코리아,중견기업,20220119,정규직
70,70,중대재해 및 안전관리 담당자 채용(안전보건환경 경영실),현대종합금속,중견기업,20220119,정규직
71,71,재무팀 모집,삼아알미늄,중견기업,20220117,정규직
72,72,영어 통역 계약직 채용 공고,기아타이거즈,대기업,20220119,정규직전환형|기간제|기타
73,73,[신입] MCS운영 서비스,씨제이올리브네트웍스,,20220119,정규직
74,74,혈당측정 알고리즘 개발 신입사원 모집,아이센스,,20220118,정규직
75,75,2022년 2차 상반기 신입(채용연계형 인턴) 및 경력직 채용 공고,디지비데이터시스템,중견기업,20220118,정규직|정규직전환형|기간제|기타
76,76,신입인턴 사원 모집,이마트이십사,,20220119,정규직전환형|기간제|기타
77,77,아마존 글로벌스토어 MD 분야 모집,십일번가,,20220119,정규직
78,78,"[서비스부품BU] '22년 상반기 신입사원 모집 (용품 프로젝트, 재고/조달, 기술정보관리, 친환경 포장, 해외모빌리티, 설계, 총무지원)",현대모비스,,20220112,정규직
79,79,[일반직] 성능평가 신입사원 모집,아이센스,,20220111,정규직
80,80,IT본부 - 정보운영팀 헬프데스크 담당 신입 채용 [역검필수제출],디에이치엘코리아,,20220117,정규직
81,81,[마케팅] 포맨트 콘텐츠 마케팅 인턴사원 모집,에이피알,,20220114,정규직전환형|기간제|기타
82,82,2022년 상반기 대졸 신입사원 채용,포스코플랜텍,,20220119,정규직
83,83,내부감사 신입사원 채용,매그나칩반도체,중견기업,20220118,정규직
84,84,2022년 전직무 신입 및 경력 공개채용,케이아이엔엑스,,20220119,정규직
85,85,[D2 Startup Factory] 기술 스타트업 발굴 및 투자 담당자 모집(신입/경력),네이버,중견기업,20220112,정규직
86,86,2022년 상반기 채용전제형 인턴사원 모집,디비하이텍,중견기업,20220118,정규직|정규직전환형|기간제|기타
87,87,영업 정규직 채용 (신입),일진디스플레이,중견기업,20220111,정규직
88,88,2022년 신입직원 채용,한국콘텐츠진흥원,공공기관,20220117,정규직
89,89,2022년 상반기 직원 공개채용,군포도시공사,공기업,20220203,정규직
90,90,각 부문 신입 / 경력 추가채용,니프코코리아,중견기업,20220118,정규직|정규직전환형|기간제|기타
91,91,2022년 1월 신입사원 채용 일반전형,롯데건설,,20220117,정규직
92,92,네트워크 엔지니어,인터파크,중견기업,20220104,정규직
93,93,경력사원 채용 (산업안전관리),동원로엑스,중견기업,20220118,정규직
94,94,공연 제작 및 기획,인터파크,중견기업,20220105,정규직
95,95,경력사원 수시채용_관리회계 수익성분석,한국타이어앤테크놀로지,중견기업,20211224,정규직
96,96,[엣스퍼트] 상반기 신입사원 채용(대졸/초대졸),에스앤아이코퍼레이션,,20220117,정규직
97,97,보안 운영 담당자,인터파크,중견기업,20220111,정규직
98,98,경력사원 수시채용_관리회계 원가결산,한국타이어앤테크놀로지,중견기업,20211224,정규직
99,99,장비/정비/환경 엔지니어 신입사원 모집,디비하이텍,중견기업,20220117,정규직
0,0,2022년도 상반기 MR직군 공채 모집,보령제약,중견기업,20220117,정규직
1,1,"2022년 대졸 신입/경력사원 공개모집 (TMS팀, 툴링영업)",한국야금,중견기업,20220117,정규직
2,2,경력사원 수시채용_SHE 환경관리,한국타이어앤테크놀로지,중견기업,20220117,정규직
3,3,경력/신입/인턴 수시 채용 [역검 필수 제출],에이치케이이노엔,중견기업,20220117,정규직|정규직전환형|기간제|기타
4,4,[신입] 경영지원 총무파트 보훈대상자 특별 채용,농심기획,중견기업,20220117,정규직
5,5,[채용연계형 인턴] 품질관리 담당자 모집,안랩,중견기업,20220117,정규직전환형|기간제|기타
6,6,디자인연구소 인턴 디자이너 모집,아트박스,중견기업,20220117,정규직전환형|기간제|기타
7,7,"데이터인사이트(인턴)/데이터 수집, 분석 담당자",와이지엔터테인먼트,중견기업,20220113,정규직전환형|기간제|기타
8,8,2022년 정규직 채용 공고,한국자활복지개발원,공공기관,20220117,정규직
9,9,[신입] 국내영업/영업관리(수도권) 인재채용,국순당,,20220114,정규직
10,10,사무직 각 부문별 신입/경력 사원 모집,에이비씨마트코리아,중견기업,20220115,정규직
11,11,"2022년 상반기 영업,엔지니어,물류 채용연계형 인턴 모집",코오롱베니트,,20220117,정규직전환형|기간제|기타
12,12,글로벌정보사업 부문 채용,나이스디앤비,,20220114,정규직
13,13,'22년도 변리사 채용,한국조선해양,대기업,20220107,정규직
14,14,2022 상반기 신입사원 (SC) 공개채용,한샘,중견기업,20220117,정규직
15,15,재무(회계사/세무사) 경력직 채용,유한양행,중견기업,20220114,정규직
16,16,22년 제1차 대규모 채용,자화전자,중견기업,20220117,정규직
17,17,2022 수시채용(사무직/생산직),이디야,중견기업,20220114,정규직
18,18,"2022년 신입, 경력사원 채용",서연이화,중견기업,20220117,정규직
19,19,[신입] '22년 상반기 각 부문 신입사원 채용,피아이첨단소재,중견기업,20220114,정규직
20,20,[수시채용] 2022년 상반기 수시채용,일성신약,,20210117,정규직
21,21,"2022년 직원 채용 공고(일반직, 공무직)",한국건강증진개발원,공공기관,20220121,정규직
22,22,[신입] 국내/해외 기술영업담당 모집,애경케미칼,중견기업,20220113,정규직
23,23,2022년 1월 신입사원 채용 일반전형,롯데칠성음료,,20220113,정규직
24,24,2022년 상반기 채용연계형 인턴 모집 (Engineering),에스케이플래닛,,20220112,정규직전환형|기간제|기타
25,25,2022년 수시채용(연구/관리직군),제이브이엠,,20220103,정규직
26,26,2022년 상반기 채용연계형 인턴 모집 (UX),에스케이플래닛,,20220112,정규직전환형|기간제|기타
27,27,2022년 사무기술직 신입/경력직 수시채용,희성피엠텍,,20220112,정규직
28,28,재무기획부 경력직 공개채용,신한금융투자,대기업,20220112,정규직전환형|기간제|기타
29,29,2022년도 상반기 4직급 전문인력 채용 공고 (신입),한전엠씨에스,공공기관,20220113,정규직
30,30,각 부문별 신입/경력사원 모집,유진기업,중견기업,20220113,정규직|정규직전환형|기간제|기타
31,31,2022년 각 부문별 경력직 채용,엘에스아이티씨,,20220114,정규직
32,32,22년 해외사업팀 수출관리 직무 채용(중국/유럽),남양유업,중견기업,20220114,정규직
33,33,2022년 상반기 2차 NCS기반 정규직[5급 사무직] 채용,우체국물류지원단,공공기관,20220110,정규직
34,34,기계설비/전기 경력직 채용,현대아산,중견기업,20220113,정규직
35,35,채용연계형 인턴,파수,,20220112,정규직전환형|기간제|기타
36,36,생기기획팀 직원 채용,네오오토,중견기업,20220112,정규직
37,37,사무직(경력/신입) 모집,피비파트너즈,중견기업,20220113,정규직
38,38,2022년도 상반기 4직급 전문인력 채용 공고 (경력),한전엠씨에스,공공기관,20220113,정규직|기타
39,39,22년 안전보건관리자 수시채용,남양유업,중견기업,20220113,정규직
40,40,채용연계형 인턴,스패로우,,20220112,정규직전환형|기간제|기타
41,41,2022년 안전관리자 신입사원 채용,현대백화점,,20220112,정규직|정규직전환형|기간제|기타
42,42,펫 DB관리 담당 경력 및 인턴 채용,지에스넷비전,,20220112,정규직|정규직전환형|기간제|기타
43,43,재무/영업 대졸 신입사원 채용,코원에너지서비스,,20220112,정규직
44,44,2022년 제2차 공개채용,대한장애인체육회,공공기관,20220114,정규직
45,45,22년 상반기 청년인턴 채용 공고,중소기업유통센터,공공기관,20220112,정규직전환형|기간제|기타
46,46,본사 경력사원 채용공고 (ESG/Risk Management),삼성에스디아이,,20220112,정규직
47,47,2022 상반기 신입사원 수시채용 모집,오씨아이,,20220111,정규직
48,48,2022년 상반기 직원 채용 공고,국립낙동강생물자원관,공공기관,20220114,정규직
49,49,[공채] [2022년 상반기] 사업·상품기획 경력사원 채용,가비아,,20220106,정규직
50,50,'22년 안전관리 직무 경력직 수시채용,현대케피코,,20220106,정규직
51,51,IT 인프라 신입 수시채용,에이제이아이씨티,,20211217,정규직
52,52,2022년도 사무직 공개 모집,대한적십자사,공공기관,20220110,정규직
53,53,IT개발자 채용,비지에프네트웍스,,20220110,정규직
54,54,2022년 신입/경력 사원 채용,동화일렉트로라이트,,20220110,정규직
55,55,2022년 신입/경력 사원 채용,동화기업,중견기업,20220110,정규직
56,56,[공채] [2022년 상반기] 정보보호 경력사원 채용,가비아,,20220106,정규직
57,57,2022년 1월 채용,나스미디어,,20211231,정규직
58,58,클라우드 엔지니어 경력직 모집(과장~부장),대보정보통신,중견기업,20220104,정규직
59,59,1월 경력/신입 상시채용공고,영원무역홀딩스,중견기업,20220104,정규직|정규직전환형|기간제|기타
60,60,수소연료전지 시스템 통합 및 개발,현대자동차,,20220103,정규직
61,61,1월 경력/신입 상시채용공고,영원무역,중견기업,20220104,정규직|정규직전환형|기간제|기타
62,62,[신입/경력]교육운영 업무 담당자 채용,비즈테크파트너스,,20211214,정규직
63,63,[플랫폼기획디자인] 스토브 플랫폼 디자인시스템 구축 담당,스마일게이트스토브,중견기업,20211231,정규직
64,64,광학솔루션사업부 R&D 신입 석/박사 채용,엘지이노텍,,20211229,정규직
65,65,"그래픽, 프레젠테이션 신입/경력 디자이너 모집",대보정보통신,중견기업,20211222,정규직
66,66,세포치료연구소 공정개발 연구원 채용,지씨셀,중견기업,20211221,정규직
67,67,브랜드마케팅(신입/경력),웹젠,중견기업,20211224,정규직
68,68,"MCS2 본부 - Digital Strategy, PI 컨설턴트 채용",삼정케이피엠지,,20211207,정규직
69,69,음원/음반 기획 및 마케팅,인터파크,중견기업,20211209,정규직
70,70,채용 담당자,인터파크,중견기업,20211206,정규직
71,71,회계 담당자,인터파크,중견기업,20211206,정규직
72,72,경영기획,케이비데이타시스템,,20211206,정규직전환형|기간제|기타
73,73,[신입/경력] 급여 및 복리후생 담당자 모집,비즈테크파트너스,,20211217,정규직
74,74,경영기획,케이비데이타시스템,,20211206,정규직전환형|기간제|기타
75,75,영업직 경력사원 모집(대리/과장급),리베이션,,20211207,정규직
76,76,영업지원(지사) - 정규직(신입) [역검 필수 제출],비상교육,중견기업,20211206,정규직|기간제|기타
